Essential,Unit,English,Uzbek
Essential 2,Unit 3,intend,niyat qilmoq
Essential 2,Unit 3,laughter,kulgu
Essential 2,Unit 3,log,"jurnal, yog'och"
Essential 2,Unit 3,military,harbiy
Essential 2,Unit 3,obey,itoat qilmoq
Essential 2,Unit 3,secure,"xavfsiz, qo'lga kiritmoq"
Essential 2,Unit 3,steady,barqaror
Essential 2,Unit 3,trust,ishonch
Essential 2,Unit 3,twist,o'ramoq
Essential 2,Unit 3,unless,agar …masa
Essential 2,Unit 3,weapon,qurol
Essential 2,Unit 4,chest,ko'krak
Essential 2,Unit 4,confidence,ishonch
Essential 2,Unit 4,consequence,oqibat natija
Essential 2,Unit 4,disaster,falokat
Essential 2,Unit 4,disturb,bezovta qilmoq
Essential 2,Unit 4,estimate,baholamoq
Essential 2,Unit 4,honor,"hurmat, sharaf"
Essential 2,Unit 4,impress,taassurot qoldirmoq
Essential 2,Unit 4,marathon,marafon
Essential 2,Unit 4,narrow,tor
Essential 2,Unit 4,pale,rangsiz
Essential 2,Unit 4,rough,qo'pol
Essential 2,Unit 4,satisfy,qoniqtirmoq
Essential 2,Unit 4,scream,qichqirmoq
Essential 2,Unit 4,sensitive,tasirchan
Essential 2,Unit 4,shade,soya
Essential 2,Unit 4,supplement,qo'shimcha
Essential 2,Unit 4,terror,daxshat
Essential 2,Unit 4,threat,tahdid
Essential 2,Unit 4,victim,qurbon
Essential 2,Unit 5,ancestor,ajdod
Essential 2,Unit 5,angle,burchak
Essential 2,Unit 5,boot,yuklash
Essential 2,Unit 5,border,chegara
Essential 2,Unit 5,congratulate,tabriklamoq
Essential 2,Unit 5,frame,ramka
Essential 2,Unit 5,heaven,jannat
Essential 2,Unit 5,incredible,ajoyib
Essential 2,Unit 5,legend,afsona
Essential 2,Unit 5,praise,maqtamoq
Essential 2,Unit 5,proceed,davom etmoq
Essential 2,Unit 5,pure,"sof, toza"
Essential 2,Unit 5,relative,"nisbiy, qarindosh"
Essential 2,Unit 5,senior,katta
Essential 2,Unit 5,silent,"jim, tinch"
Essential 2,Unit 5,sink,cho'kmoq
Essential 2,Unit 5,superior,"ustun, katta"
Essential 2,Unit 5,surround,o'rab olmoq
Essential 2,Unit 5,thick,qalin
Essential 2,Unit 5,wrap,o'ramoq
Essential 2,Unit 6,abroad,chet el
Essential 2,Unit 6,anger,g'azab
Essential 2,Unit 6,bride,kelin
Essential 2,Unit 6,brief,qisqacha
Essential 2,Unit 6,chase,ketidan quvmoq
Essential 2,Unit 6,disappoint,ko'nglini qoldirmoq
Essential 2,Unit 6,dive,sho'ng'imoq
Essential 2,Unit 6,exchange,almashtirmoq
Essential 2,Unit 6,favor,yaxshilik
Essential 2,Unit 6,fee,haq
Essential 2,Unit 6,forever,abadiy
Essential 2,Unit 6,guy,yigit
Essential 2,Unit 6,lovely,ajoyib
Essential 2,Unit 6,mood,kayfiyat
Essential 2,Unit 6,palace,saroy
Essential 2,Unit 6,permit,ruxsat bermoq
Essential 2,Unit 6,protest,norozilik qilmoq
Essential 2,Unit 6,sculpture,haykal
Essential 2,Unit 6,tribe,qabila
Essential 2,Unit 6,youth,yoshlar
Essential 2,Unit 7,basis,asos
Essential 2,Unit 7,biology,biologiya
Essential 2,Unit 7,cage,qafas
Essential 2,Unit 7,colleague,hamkasb
Essential 2,Unit 7,colony,koloniya
Essential 2,Unit 7,debate,munozara
Essential 2,Unit 7,depart,ketmoq
Essential 2,Unit 7,depress,tushkunlikka solmoq
Essential 2,Unit 7,factual,haqiqiy
Essential 2,Unit 7,fascinate,hayratda qoldirmoq
Essential 2,Unit 7,mission,missiya
Essential 2,Unit 7,nevertheless,shunga qaramay
Essential 2,Unit 7,occupation,istilo kasb
Essential 2,Unit 7,overseas,dengiz orti
Essential 2,Unit 7,persuade,ishontirmoq
Essential 2,Unit 7,route,yo'nalish
Essential 2,Unit 7,ruins,xarobalar
Essential 2,Unit 7,scholar,olim
Essential 2,Unit 7,significant,muhim
Essential 2,Unit 7,volcano,vulqon
Essential 2,Unit 8,broad,keng
Essential 2,Unit 8,bush,buta
Essential 2,Unit 8,capable,qobiliyatli
Essential 2,Unit 8,cheat,mug'ombirlik qilmoq
Essential 2,Unit 8,concentrate,fikrni jamlamoq
Essential 2,Unit 8,conclude,xulosa qilmoq
Essential 2,Unit 8,confident,o'ziga ishongan
Essential 2,Unit 8,considerable,sezilarli
Essential 2,Unit 8,convey,yetkazmoq
Essential 2,Unit 8,definite,aniq
Essential 2,Unit 8,delight,zavq
Essential 2,Unit 8,destination,manzil
Essential 2,Unit 8,dictate,aytib turmoq
Essential 2,Unit 8,edge,chet qirra
Essential 2,Unit 8,path,yo'l
Essential 2,Unit 8,resort,suyanmoq
Essential 2,Unit 8,shadow,soya
Essential 2,Unit 8,succeed,muvaffaqiyatga erishmoq
Essential 2,Unit 8,suspect,gumon qilmoq
Essential 2,Unit 8,valley,vodiy
Essential 2,Unit 9,admire,hurmat qilmoq
Essential 2,Unit 9,aid,yordam
Essential 2,Unit 9,attempt,urinish
Essential 2,Unit 9,authority,hokimiyat
Essential 2,Unit 9,capital,poytaxt
Essential 2,Unit 9,cooperate,hamkorlik qilmoq
Essential 2,Unit 9,defend,himoya qilmoq
Essential 2,Unit 9,destruction,vayrongarchilik
Essential 2,Unit 9,disorder,tartibsizlik
Essential 2,Unit 9,division,bo'linish
Essential 2,Unit 9,enable,imkon bermoq
Essential 2,Unit 9,frustrate,ko'nglini qoldirmoq
Essential 2,Unit 9,govern,boshqarmoq
Essential 2,Unit 9,plenty,mo'l
Essential 2,Unit 9,relieve,xalos qilmoq
Essential 2,Unit 9,reputation,obro'
Essential 2,Unit 9,royal,qirollik
Essential 2,Unit 9,slave,qul
Essential 2,Unit 9,struggle,kurash
Essential 2,Unit 9,stupid,ahmoqona
Essential 2,Unit 10,citizen,fuqaro
Essential 2,Unit 10,council,kengash
Essential 2,Unit 10,declare,e'lon qilmoq
Essential 2,Unit 10,enormous,ulkan
Essential 2,Unit 10,extraordinary,noodatiy
Essential 2,Unit 10,fog,tuman
Essential 2,Unit 10,funeral,dafn marosimi
Essential 2,Unit 10,giant,ulkan
Essential 2,Unit 10,impression,taassurot
Essential 2,Unit 10,income,daromadlar
Essential 2,Unit 10,mad,telba
Essential 2,Unit 10,ought,kerak
Essential 2,Unit 10,resist,qarshilik ko'rsatmoq
Essential 2,Unit 10,reveal,oshkor qilmoq
Essential 2,Unit 10,rid,qutilmoq
Essential 2,Unit 10,sword,qilich
Essential 2,Unit 10,tale,hikoya
Essential 2,Unit 10,trap,tuzoq
Essential 2,Unit 10,trial,sud
Essential 2,Unit 10,violent,zo'ravon
Essential 2,Unit 11,admission,ruxsat
Essential 2,Unit 11,astronomy,astronomiya
Essential 2,Unit 11,blame,ayblamoq
Essential 2,Unit 11,chemistry,kimyo
Essential 2,Unit 11,despite,qaramasdan
Essential 2,Unit 11,dinosaur,dinozavr
Essential 2,Unit 11,exhibit,ko'rgazma
Essential 2,Unit 11,fame,shuhrat
Essential 2,Unit 11,forecast,ob-havo ma'lumoti
Essential 2,Unit 11,genius,daho
Essential 2,Unit 11,gentle,muloyim
Essential 2,Unit 11,geography,geografiya
Essential 2,Unit 11,interfere,aralashmoq
Essential 2,Unit 11,lightly,engil
Essential 2,Unit 11,principal,asosiy direktor
Essential 2,Unit 11,row,qator
Essential 2,Unit 11,shelf,tokcha
Essential 2,Unit 11,spite,ataylab
Essential 2,Unit 11,super,ajoyib
Essential 2,Unit 11,wet,nam
Essential 2,Unit 12,abuse,ozor yetkazmoq
Essential 2,Unit 12,afford,qurbi yetmoq
Essential 2,Unit 12,bake,pishirmoq
Essential 2,Unit 12,bean,loviya
Essential 2,Unit 12,candle,sham
Essential 2,Unit 12,convert,o'zgartirmoq
Essential 2,Unit 12,debt,qarz
Essential 2,Unit 12,decrease,kamaymoq
Essential 2,Unit 12,fault,xato
Essential 2,Unit 12,fund,jamg'arma
Essential 2,Unit 12,generous,saxiy
Essential 2,Unit 12,ingredient,ingredient
Essential 2,Unit 12,insist,turib olmoq
Essential 2,Unit 12,mess,tartibsizlik
Essential 2,Unit 12,metal,metall
Essential 2,Unit 12,monitor,kuzatmoq
Essential 2,Unit 12,oppose,qarshilik ko'rsatmoq
Essential 2,Unit 12,passive,sust
Essential 2,Unit 12,quantity,miqdor
Essential 2,Unit 12,sue,sudga bermoq
Essential 2,Unit 13,anxiety,tashvish
Essential 2,Unit 13,army,armiya
Essential 2,Unit 13,billion,milliard
Essential 2,Unit 13,carve,o'ymoq
Essential 2,Unit 13,consult,maslahatlashmoq
Essential 2,Unit 13,emergency,favqulodda holat
Essential 2,Unit 13,fortune,boylik omad
Essential 2,Unit 13,guarantee,kafolat bermoq
Essential 2,Unit 13,hike,yurish
Essential 2,Unit 13,initial,boshlang'ich
Essential 2,Unit 13,intense,qizg'in kuchli
Essential 2,Unit 13,lend,qarz berish
Essential 2,Unit 13,peak,cho'qqi
Essential 2,Unit 13,potential,ehtimoliy
Essential 2,Unit 13,pride,g'urur
Essential 2,Unit 13,proof,dalil
Essential 2,Unit 13,quit,chiqish
Essential 2,Unit 13,spin,aylantirmoq
Essential 2,Unit 13,tiny,kichik
Essential 2,Unit 13,tutor,o'qituvchi
Essential 2,Unit 14,apparent,aniq
Essential 2,Unit 14,blind,ko'r
Essential 2,Unit 14,calculate,hisoblmoq
Essential 2,Unit 14,chat,suhbat
Essential 2,Unit 14,commit,ahd qilmoq
Essential 2,Unit 14,compose,tuzmoq
Essential 2,Unit 14,dormitory,yotoqxona
Essential 2,Unit 14,exhaust,holdan toymoq
Essential 2,Unit 14,greenhouse,issiqxona
Essential 2,Unit 14,ignore,e'tibor bermaslik
Essential 2,Unit 14,obvious,aniq
Essential 2,Unit 14,physics,fizika
Essential 2,Unit 14,portion,qism
Essential 2,Unit 14,remind,eslatmoq
Essential 2,Unit 14,secretary,kotib
Essential 2,Unit 14,severe,jiddiy
Essential 2,Unit 14,talent,iste'dod
Essential 2,Unit 14,thesis,maqola
Essential 2,Unit 14,uniform,forma
Essential 2,Unit 14,vision,ko'rish
Essential 2,Unit 15,absorb,shimib olmoq
Essential 2,Unit 15,boss,xo'jayin
Essential 2,Unit 15,committee,qo'mita
Essential 2,Unit 15,contract,shartnoma
Essential 2,Unit 15,crew,jamoa
Essential 2,Unit 15,devote,bag'ishlamoq
Essential 2,Unit 15,dig,qazimoq
Essential 2,Unit 15,dine,ovqatlanmoq
Essential 2,Unit 15,donate,ehson qilmoq
Essential 2,Unit 15,double,ikki karra
Essential 2,Unit 15,elevate,ko'tarmoq
Essential 2,Unit 15,flavor,lazzat
Essential 2,Unit 15,foundation,asos
Essential 2,Unit 15,generation,avlod
Essential 2,Unit 15,handle,dastak
Essential 2,Unit 15,layer,qatlam
Essential 2,Unit 15,mud,loy
Essential 2,Unit 15,smooth,silliq
Essential 2,Unit 15,soil,tuproq
Essential 2,Unit 15,unique,"noyob, o'zgacha"
Essential 2,Unit 16,chamber,xujra
Essential 2,Unit 16,deny,inkor qilmoq
Essential 2,Unit 16,document,hujjat
Essential 2,Unit 16,emphasize,urg'u bermoq
Essential 2,Unit 16,fever,isitma
Essential 2,Unit 16,flu,gripp
Essential 2,Unit 16,freeze,muzlatmoq
Essential 2,Unit 16,gesture,imo-ishora
Essential 2,Unit 16,interrupt,gapni bo'lmoq
Essential 2,Unit 16,last,oxirgi
Essential 2,Unit 16,likeness,o'xshashlik
Essential 2,Unit 16,moreover,bundan tashqari
Essential 2,Unit 16,perspective,nazar
Essential 2,Unit 16,rational,oqilona
Essential 2,Unit 16,recover,tiklanmoq
Essential 2,Unit 16,rely,tayanmoq
Essential 2,Unit 16,shock,zarba
Essential 2,Unit 16,shy,uyatchang
Essential 2,Unit 16,stare,tikilmoq
Essential 2,Unit 16,thus,shunday qilib
Essential 2,Unit 17,aim,maqsad
Essential 2,Unit 17,attach,ulamoq
Essential 2,Unit 17,bet,garov bog'lamoq
Essential 2,Unit 17,carriage,arava
Essential 2,Unit 17,classic,mumtoz
Essential 2,Unit 17,commute,borib kelmoq
Essential 2,Unit 17,confirm,tasdiqlamoq
Essential 2,Unit 17,criticize,tanqid qilmoq
Essential 2,Unit 17,differ,farq qilmoq
Essential 2,Unit 17,expense,xarajatlar
Essential 2,Unit 17,formal,rasmiy
Essential 2,Unit 17,height,balandlik
Essential 2,Unit 17,invent,ixtiro qilmoq
Essential 2,Unit 17,junior,kichik
Essential 2,Unit 17,labor,mehnat
Essential 2,Unit 17,mechanic,mexanik
Essential 2,Unit 17,prime,asosiy
Essential 2,Unit 17,shift,o'zgarish
Essential 2,Unit 17,signal,belgi
Essential 2,Unit 17,sincere,samimiy
Essential 2,Unit 18,ability,qobiliyat
Essential 2,Unit 18,agriculture,qishloq xo'jaligi
Essential 2,Unit 18,cartoon,multfilm
Essential 2,Unit 18,ceiling,shift
Essential 2,Unit 18,convince,ishontirmoq
Essential 2,Unit 18,curious,qiziquvchan
Essential 2,Unit 18,delay,kechiktirmoq
Essential 2,Unit 18,diary,kundalik
Essential 2,Unit 18,element,element
Essential 2,Unit 18,faith,e'tiqod
Essential 2,Unit 18,grain,don
Essential 2,Unit 18,greet,salomlashmoq
Essential 2,Unit 18,investigate,tekshirmoq
Essential 2,Unit 18,joy,quvonch
Essential 2,Unit 18,label,yorliq
Essential 2,Unit 18,monk,rohib
Essential 2,Unit 18,odd,g'alati
Essential 2,Unit 18,pause,to'xtatib turmoq
Essential 2,Unit 18,priest,ruhoniy
Essential 2,Unit 18,profession,kasb
Essential 2,Unit 19,adopt,"qabul qilmoq, boqib olmoq"
Essential 2,Unit 19,beg,yalinmoq
Essential 2,Unit 19,beyond,ortida
Essential 2,Unit 19,costume,kostyum
Essential 2,Unit 19,exclaim,takidlamoq
Essential 2,Unit 19,extend,uzaytirmoq
Essential 2,Unit 19,fool,ahmoq
Essential 2,Unit 19,forbid,taqiqlamoq
Essential 2,Unit 19,illustrate,tasvirlab bermoq
Essential 2,Unit 19,indeed,haqiqatdan ham
Essential 2,Unit 19,interpret,tushuntirmoq
Essential 2,Unit 19,kindly,muloyimlik bilan
Essential 2,Unit 19,motive,maqsad
Essential 2,Unit 19,nest,uy
Essential 2,Unit 19,origin,kelib chiqishi
Essential 2,Unit 19,reception,qabulxona
Essential 2,Unit 19,reject,rad etmoq
Essential 2,Unit 19,silence,sukunat
Essential 2,Unit 19,stream,soy
Essential 2,Unit 19,tone,ovoz
Essential 2,Unit 20,accomplish,bajarmoq
Essential 2,Unit 20,approve,tasdiqlamoq
Essential 2,Unit 20,approximate,taxminiy
Essential 2,Unit 20,barrier,to'siq
Essential 2,Unit 20,detect,aniqlamoq
Essential 2,Unit 20,duty,vazifa
Essential 2,Unit 20,elementary,boshlang'ich
Essential 2,Unit 20,failure,muvaffaqiyatsizlik
Essential 2,Unit 20,gradual,bosqichma-bosqich
Essential 2,Unit 20,immigrant,ko'chib keluvchi
Essential 2,Unit 20,insert,kiritmoq
Essential 2,Unit 20,instant,tezda
Essential 2,Unit 20,poverty,qashshoqlik
Essential 2,Unit 20,pretend,mug'ombirlik qilmoq
Essential 2,Unit 20,rank,daraja
Essential 2,Unit 20,recognition,tanish
Essential 2,Unit 20,refrigerate,muzlatmoq
Essential 2,Unit 20,rent,ijaraga olmoq
Essential 2,Unit 20,retire,nafaqaga chiqmoq
Essential 2,Unit 20,statistic,"statistika, raqamlar"
Essential 2,Unit 21,astronaut,astronavt
Essential 2,Unit 21,awake,uyg'oq
Essential 2,Unit 21,courage,jasorat
Essential 2,Unit 21,float,suzmoq
Essential 2,Unit 21,grant,taqdim etmoq
Essential 2,Unit 21,gravity,tortish kuchi
Essential 2,Unit 21,jewel,qimmatbaho tosh
Essential 2,Unit 21,miner,konchi
Essential 2,Unit 21,mineral,mineral
Essential 2,Unit 21,participate,ishtirok etmoq
Essential 2,Unit 21,permission,ruxsat
Essential 2,Unit 21,pour,quymoq
Essential 2,Unit 21,presence,mavjudlik
Essential 2,Unit 21,raw,xom
Essential 2,Unit 21,satellite,sun'iy yo'ldosh
Essential 2,Unit 21,scale,ko'lam
Essential 2,Unit 21,skip,o'tkazib yuborish
Essential 2,Unit 21,stretch,cho'zmoq
Essential 2,Unit 21,telescope,teleskop
Essential 2,Unit 21,underground,yer osti
Essential 2,Unit 22,alarm,ogohlantiruvchi ovoz
Essential 2,Unit 22,apart,"alohida, ayro"
Essential 2,Unit 22,arrest,hibsga olmoq
Essential 2,Unit 22,award,mukofot
Essential 2,Unit 22,breed,zot
Essential 2,Unit 22,bucket,paqir
Essential 2,Unit 22,contest,tanlov
Essential 2,Unit 22,convict,aybdor deb topmoq
Essential 2,Unit 22,garage,garaj
Essential 2,Unit 22,journalist,jurnalist
Essential 2,Unit 22,pup,it bolasi
Essential 2,Unit 22,qualify,mos kelmoq
Essential 2,Unit 22,repair,ta'mirlamoq
Essential 2,Unit 22,resume,davom ettirmoq
Essential 2,Unit 22,rob,tunab ketmoq
Essential 2,Unit 22,slip,toyib ketmoq
Essential 2,Unit 22,somewhat,nimagadir
Essential 2,Unit 22,stable,barqaror
Essential 2,Unit 22,tissue,"to'qima, salfetka"
Essential 2,Unit 22,yard,hovli
Essential 2,Unit 23,alike,o'xshash
Essential 2,Unit 23,annoy,jig'iga tegmoq
Essential 2,Unit 23,architecture,arxitektura
Essential 2,Unit 23,artificial,sun'iy
Essential 2,Unit 23,chain,zanjir
Essential 2,Unit 23,distinct,farqli
Essential 2,Unit 23,distinguish,ajratmoq
Essential 2,Unit 23,dust,chang
Essential 2,Unit 23,excitement,hayajon
Essential 2,Unit 23,heal,tuzalmoq
Essential 2,Unit 23,inherit,meros qilib olmoq
Essential 2,Unit 23,manner,"ahloq, odob"
Essential 2,Unit 23,mount,kuchaymoq
Essential 2,Unit 23,roof,tom
Essential 2,Unit 23,shortage,kamchilik
Essential 2,Unit 23,solid,qattiq
Essential 2,Unit 23,stock,g'aram
Essential 2,Unit 23,substance,modda
Essential 2,Unit 23,tomb,maqbara
Essential 2,Unit 23,wound,yara
Essential 2,Unit 24,bath,vanna
Essential 2,Unit 24,bend,bukmoq
Essential 2,Unit 24,chew,chaynamoq
Essential 2,Unit 24,disabled,nogiron
Essential 2,Unit 24,fantastic,ajoyib
Essential 2,Unit 24,fiction,to'qima
Essential 2,Unit 24,flag,bayroq
Essential 2,Unit 24,inspect,tekshirmoq
Essential 2,Unit 24,journal,jurnal
Essential 2,Unit 24,liquid,suyuqlik
Essential 2,Unit 24,marvel,ajoyibot
Essential 2,Unit 24,nutrient,ozuqa moddalari
Essential 2,Unit 24,overcome,yengib o'tmoq
Essential 2,Unit 24,recall,eslatmoq
Essential 2,Unit 24,regret,afsuslanmoq
Essential 2,Unit 24,soul,ruh
Essential 2,Unit 24,sufficient,yetarli
Essential 2,Unit 24,surgery,jarrohlik
Essential 2,Unit 24,tough,qiyin
Essential 2,Unit 24,tube,quvur
Essential 2,Unit 25,admit,tan olmoq
Essential 2,Unit 25,bin,quti
Essential 2,Unit 25,bowl,kosa
Essential 2,Unit 25,cabin,hujra
Essential 2,Unit 25,cash,naqd pul
Essential 2,Unit 25,criminal,jinoyatchi
Essential 2,Unit 25,dozen,o'nlab
Essential 2,Unit 25,elder,kattaroq
Essential 2,Unit 25,facial,yuzga oid
Essential 2,Unit 25,fence,to'siq
Essential 2,Unit 25,inspire,ilhomlantirmoq
Essential 2,Unit 25,mere,biroz
Essential 2,Unit 25,neat,pokiza
Essential 2,Unit 25,occasion,vaziyat
Essential 2,Unit 25,penalty,jazo
Essential 2,Unit 25,rude,qo'pol
Essential 2,Unit 25,settle,joylashmoq
Essential 2,Unit 25,vehicle,transport vositasi
Essential 2,Unit 25,wallet,hamyon
Essential 2,Unit 25,yell,baqirmoq
Essential 2,Unit 26,accuse,ayblamoq
Essential 2,Unit 26,adjust,sozlamoq
Essential 2,Unit 26,amuse,qiziqtirmoq
Essential 2,Unit 26,coral,marjon
Essential 2,Unit 26,cotton,paxta
Essential 2,Unit 26,crash,to'qnashmoq
Essential 2,Unit 26,deck,paluba
Essential 2,Unit 26,engage,jalb qilish
Essential 2,Unit 26,firm,"qattiq, firma"
Essential 2,Unit 26,fuel,yoqilg'i
Essential 2,Unit 26,grand,katta
Essential 2,Unit 26,hurricane,bo'ron
Essential 2,Unit 26,loss,yo'qotish
Essential 2,Unit 26,plain,tekis
Essential 2,Unit 26,reef,qoya
Essential 2,Unit 26,shut,yopish
Essential 2,Unit 26,strict,qat'iy
Essential 2,Unit 26,surf,to'lqinda uchmoq
Essential 2,Unit 26,task,vazifa
Essential 2,Unit 26,zone,"zona, hudud"
Essential 2,Unit 27,apology,kechirim so'rash
Essential 2,Unit 27,bold,botir
Essential 2,Unit 27,capture,tutmoq
Essential 2,Unit 27,cardinal,asosiy
Essential 2,Unit 27,duke,gersog
Essential 2,Unit 27,expose,ta'sir ostida bo'lmoq
Essential 2,Unit 27,guilty,aybdor
Essential 2,Unit 27,hire,ijaraga olmoq
Essential 2,Unit 27,innocent,begunoh
Essential 2,Unit 27,jail,qamoqxona
Essential 2,Unit 27,minister,vazir
Essential 2,Unit 27,ordinary,oddiy
Essential 2,Unit 27,permanent,doimiy
Essential 2,Unit 27,preserve,himoya qilmoq
Essential 2,Unit 27,pronounce,talaffuz qilmoq
Essential 2,Unit 27,resemble,aks etmoq
Essential 2,Unit 27,symptom,belgi
Essential 2,Unit 27,tobacco,tamaki
Essential 2,Unit 27,twin,egizak
Essential 2,Unit 27,witch,jodugar
Essential 2,Unit 28,accompany,hamroh bo'lmoq
Essential 2,Unit 28,bare,yalang'och
Essential 2,Unit 28,branch,shox
Essential 2,Unit 28,breath,nafas olish
Essential 2,Unit 28,bridge,ko'prik
Essential 2,Unit 28,cast,uloqtirmoq
Essential 2,Unit 28,dare,jazm qilmoq
Essential 2,Unit 28,electronic,elektron
Essential 2,Unit 28,inn,kichik mehmonxona
Essential 2,Unit 28,net,to'r
Essential 2,Unit 28,philosophy,falsafa
Essential 2,Unit 28,pot,qozon
Essential 2,Unit 28,seed,urug'
Essential 2,Unit 28,sharp,o'tkir
Essential 2,Unit 28,sort,tur
Essential 2,Unit 28,subtract,ayirmoq
Essential 2,Unit 28,tight,qattiq
Essential 2,Unit 28,virtual,virtual
Essential 2,Unit 28,weigh,o'lchamoq
Essential 2,Unit 28,whisper,pichirlamoq
Essential 2,Unit 29,abstract,mavhum
Essential 2,Unit 29,annual,yillik
Essential 2,Unit 29,clay,sopol
Essential 2,Unit 29,cloth,mato
Essential 2,Unit 29,curtain,parda
Essential 2,Unit 29,deserve,loyiq
Essential 2,Unit 29,feather,pat
Essential 2,Unit 29,fertile,unumdor
Essential 2,Unit 29,flood,suv toshqini
Essential 2,Unit 29,furniture,mebel
Essential 2,Unit 29,grave,qabr
Essential 2,Unit 29,ideal,ideal
Essential 2,Unit 29,intelligence,idrok
Essential 2,Unit 29,nowadays,shu kunlarda
Essential 2,Unit 29,obtain,olmoq
Essential 2,Unit 29,religious,diniy
Essential 2,Unit 29,romantic,ishqiy
Essential 2,Unit 29,shell,qobiq
Essential 2,Unit 29,shore,qirg'oq
Essential 2,Unit 29,wheel,g'ildirak
Essential 2,Unit 30,appeal,o'ziga tortmoq
Essential 2,Unit 30,assume,faraz qilmoq
Essential 2,Unit 30,borrow,qarz olmoq
Essential 2,Unit 30,client,mijoz
Essential 2,Unit 30,downtown,shahar markazi
Essential 2,Unit 30,dull,zerikarli
Essential 2,Unit 30,embarrass,uyatga qildirmoq
Essential 2,Unit 30,fare,"haq, to'lov"
Essential 2,Unit 30,former,sobiq
Essential 2,Unit 30,formula,formula
Essential 2,Unit 30,found,tashkil qilmoq
Essential 2,Unit 30,invest,sarmoya tikmoq
Essential 2,Unit 30,loan,qarz
Essential 2,Unit 30,practical,amaliy
Essential 2,Unit 30,quarter,chorak
Essential 2,Unit 30,salary,ish haqi
Essential 2,Unit 30,scholarship,stipendiya
Essential 2,Unit 30,temporary,vaqtinchalik
Essential 2,Unit 30,treasure,xazina
Essential 2,Unit 30,urge,da'vat qilmoq
Essential 3,Unit 1,arise,yuzaga kelmoq
Essential 3,Unit 1,benefactor,ko'mak beruvchi
Essential 3,Unit 1,blacksmith,temirchi
Essential 3,Unit 1,charitable,ochiqqo'l
Essential 3,Unit 1,chimney,mo'ri
Essential 3,Unit 1,compensate,qoplamoq
Essential 3,Unit 1,encounter,duch kelmoq
Essential 3,Unit 1,exceed,oshib ketmoq
Essential 3,Unit 1,forge,shakllantirmoq
Essential 3,Unit 1,humble,kamtarin
Essential 3,Unit 1,iron,temir
Essential 3,Unit 1,ladder,narvon
Essential 3,Unit 1,modest,kamtarin
Essential 3,Unit 1,occupy,ishg'ol qilmoq
Essential 3,Unit 1,penny,chaqa
Essential 3,Unit 1,preach,voizlik qilmoq
Essential 3,Unit 1,prosper,yashnamoq
Essential 3,Unit 1,province,viloyat
Essential 3,Unit 1,satisfaction,mamnuniyat
Essential 3,Unit 1,sustain,davom ettirmoq
Essential 3,Unit 2,acquire,ega bo'lmoq
Essential 3,Unit 2,awkward,noqulay
Essential 3,Unit 2,caretaker,enaga
Essential 3,Unit 2,deceive,aldamoq
Essential 3,Unit 2,discourage,tushkunlikka solmoq
Essential 3,Unit 2,fake,soxta
Essential 3,Unit 2,hatred,nafrat
Essential 3,Unit 2,hut,kulba
Essential 3,Unit 2,inferior,past
Essential 3,Unit 2,lodge,kulba
Essential 3,Unit 2,neglect,beparvolik qilmoq
Essential 3,Unit 2,newcomer,yangi kelgan
Essential 3,Unit 2,offense,jinoyat
Essential 3,Unit 2,overlook,e'tiborsizlik
Essential 3,Unit 2,repay,qaytarish
Essential 3,Unit 2,ridiculous,kulgili
Essential 3,Unit 2,satisfactory,qoniqarli
Essential 3,Unit 2,shepherd,cho'pon
Essential 3,Unit 2,venture,oshiqmoq
Essential 3,Unit 2,wheat,bug'doy
Essential 3,Unit 3,alley,tor ko'cha
Essential 3,Unit 3,ax,bolta
Essential 3,Unit 3,bunch,"dasta, shingil"
Essential 3,Unit 3,chore,majburyat
Essential 3,Unit 3,decent,yaxshi
Essential 3,Unit 3,disgrace,sharmandalik
Essential 3,Unit 3,elbow,tirsak
Essential 3,Unit 3,grateful,minnatdor
Essential 3,Unit 3,irritate,jaxlini chiqarmoq
Essential 3,Unit 3,kid,bola
Essential 3,Unit 3,loose,bo'sh mustahkam emas
Essential 3,Unit 3,offend,xafa qilmoq
Essential 3,Unit 3,overnight,kechki paytda
Essential 3,Unit 3,persist,davom etmoq
Essential 3,Unit 3,pine,qarag'ay
Essential 3,Unit 3,scar,chandiq
Essential 3,Unit 3,sensation,hissiyot
Essential 3,Unit 3,sled,chana
Essential 3,Unit 3,tease,masxara qilmoq
Essential 3,Unit 3,valentine,shaydo bo'lmoq
Essential 3,Unit 4,bloom,gullamoq
Essential 3,Unit 4,compact,ixcham
Essential 3,Unit 4,curl,jingala
Essential 3,Unit 4,decay,parchalanish
Essential 3,Unit 4,dessert,shirinlik
Essential 3,Unit 4,dip,botirmoq
Essential 3,Unit 4,distant,uzoq
Essential 3,Unit 4,eclipse,tutilish
Essential 3,Unit 4,fairy,farishta
Essential 3,Unit 4,grace,viqor
Essential 3,Unit 4,leisure,dam olish
Essential 3,Unit 4,mankind,insoniyat
Essential 3,Unit 4,passion,ehtiros
Essential 3,Unit 4,pillow,yostiq
Essential 3,Unit 4,pulse,zarba
Essential 3,Unit 4,refresh,yangilash
Essential 3,Unit 4,sneeze,aksirmoq
Essential 3,Unit 4,spice,ziravorlar
Essential 3,Unit 4,whistle,hushtak
Essential 3,Unit 4,wool,jun
Essential 3,Unit 5,acquaint,tanishmoq
Essential 3,Unit 5,cemetery,qabriston
Essential 3,Unit 5,curse,la'natlamoq
