rus,o'zbek,inglizcha
счастливый,baxtli / xushbаxt,happy
крыша,tom,roof
цвет,rang,color
весёлый,quvnoq / xushchaqchaq,cheerful
повторить,takrorlamoq,to repeat
невозможно,imkonsiz / mumkin emas,impossible
статья,maqola / modda,article / clause
круг,doira / aylana,circle
столь,shunchalik / shunday,so / such
факт,fakt / haqiqat,fact
бок,yon / qovurg'a,side
относиться,munosabatda bo'lmoq / tegishli bo'lmoq,to relate / to belong
причём,bundan tashqari / shu bilan birga,moreover / at that
учиться,o'qimoq / ta'lim olmoq,to study
стул,stul,chair
удивиться,hayron qolmoq,to be surprised
средний,o'rtacha,average
современный,zamonaviy / hozirgi,modern
лагерь,лагерь / lager,camp
войско,qo'shin / armiya,army
недавно,yaqinda / sal oldin,recently
удовольствие,zavq / rohat,pleasure
вино,vino / sharab,wine
возраст,yosh / umr,age
погибнуть,halok bo'lmoq / o'lmoq,to perish / to die
способный,qodir / iqtidorli,capable / talented
лестница,zina,ladder
держаться,ushlab turmoq / tutinmoq,to hold on
министр,vazir / ministr,minister
фронт,front,front
передать,uzatmoq / topshirmoq,to transfer / to pass
обратно,qaytib / orqaga,back
стрелять,o'q uzmoq / otmoq,to shoot
Петербург,Peterburg,Peterburg
неужели,nahotki / mumkinmi,really / can it be true
сад,bog',garden
проводить,o'tkazmoq / kuzatib qo'ymoq,to spend
задача,vazifa / masala,problem
острый,o'tkir / keskin,sharp
осторожно,ehtiyotkorlik bilan,cautiously
свободный,erkin / bo'sh,free
входить,kirmoq,to enter
темнота,qorong'ilik,darkness
название,nom / nomi,name
двигаться,harakatlanmoq,to move
возникнуть,paydo bo'lmoq / yuzaga kelmoq,to arise / to appear
большинство,ko'pchilik,majority
организация,tashkilot,organization
дым,tutun,smoke
высший,oliy / eng yuqori,highest
километр,kilometr,kilometer
позвонить,qo'ng'iroq qilmoq / telefon qilmoq,to call
закричать,qichqirib yubormoq,to cry / to shout
ради,uchun / sababli,for the sake of / because of
председатель,raisi / sarkotib,chairman
приказать,buyurmoq,to order
прямой,to'g'ri / ravon,straight
слегка,biroz / ozgina,slightly
попробовать,sinаb ko'rmoq,to try
вскоре,tez orada,soon
вверх,yuqoriga,upwards
ночной,tungi,night (adj)
доллар,dollar,dollar
носить,ko'tarmoq / kiymoq,to carry / to wear
выражение,ifoda,expression
кончиться,tugamoq / to'xtamoq,to terminate / to expire
плакать,yig'lamoq,to cry
танк,tank,tank
мешать,aralаshtirmoq / halaqit bermoq,to stir / to interfere
сухой,quruq,dry
зима,qish,winter
знак,belgi / imo,sign
семь,yetti,seven
получаться,chiqmoq / bo'lmoq,to turn out
мозг,miya,brain
учитель,o'qituvchi,teacher
желать,tilamoq / istamoq,to wish
обязательно,albatta / majburiy,necessarily / compulsory
майор,mayor (harbiy unvon),major
привыкнуть,ko'nikmoq / odatlanmoq,to get used
понятно,tushunарli / aniq,clearly / understandable
судить,hukm qilmoq / muhokama qilmoq,to judge
тишина,sukunat / jimlik,silence
кровать,karavot,bed
очередной,navbatdagi / keyingi,next / sequential
деятельность,faoliyat,activity
США,AQSh,USA
рыба,baliq,fish
щека,yanoq,cheek
птица,qush,bird
обещать,va'da bermoq,to promise
страшно,dahshatli / juda qo'rqinchli,terribly / ghastly
ставить,qo'ymoq / joylashtirmoq,to put / to place
странно,g'alati / ajib,strange
папа,dada / ota,daddy
касаться,tegmoq / aloqador bo'lmoq,to concern
водка,vodka,vodka
здание,bino / imorat,building
зеркало,ko'zgu,mirror
собраться,yig'ilmoq,to gather
искусство,san'at,art
начало,boshlanish / ibtido,beginning
пахнуть,hidlamoq / hid taratmoq,to smell
возникать,paydo bo'lmoq / yuzaga kelmoq,to arise
несмотря,qaramасdan / bo'lsa ham,despite
вагон,vagon,carriage / railroad car
отсюда,bu yerdan / bundan,from here / hence
автомат,avtomat / qurol,the automatic device
свежий,yangi / sershira,fresh
мокрый,ho'l,wet
милиция,militsiya / politsiya,police
срок,muddat / muddat,period
боевой,jangovar / harbiy,combat
спокойный,xotirjam / sokin,calm
одежда,kiyim,clothing
здоровый,sog'lom,healthy
корабль,kema,ship
кулак,mushtum,fist / claw / kulak
художник,rassom / chizmakor,artist
курс,kurs / yo'nalish,course
куст,buta,bush
состав,tarkib / tuzilma,composition / structure
западный,g'arbiy,western
дорогой,qimmatli / aziz / qadrli,expensive / valuable / darling
лететь,uchmoq,to fly
явно,aniq / ravshan,clearly
чудо,mo'jiza / ajoyib,miracle
крайний,chekka / haddan tashqari,outermost / extreme
кусок,bo'lak / parcha,piece
интересный,qiziqarli,interesting
заявить,e'lon qilmoq / bildirmoq,to state
оттуда,u yerdan,from there
фирма,firma / kompaniya,firm
миллион,million,million
разуметься,tushunilmoq,be meant / be understood
пространство,fazo / makon,space
тема,mavzu / tema,theme
начинаться,boshlanmoq,to begin / get going
мировой,dunyo (sifat),world
ударить,urmoq / zarba bermoq,to strike
напоминать,eslatmoq / o'xshamoq,to remind / to resemble
заставить,majbur qilmoq,to force
линия,chiziq / liniya,line
поговорить,gaplashmoq,to have a talk
мешок,xalta / qop,bag
наверно,ehtimol,probably
бабушка,buvi / momо,grandmother
крик,qichqiriq / hay-hay,cry
рот,og'iz,mouth
сутки,bir kecha-kunduz,twenty-four hours
малый,kichik,little / small-scale
ключ,kalit,key
звонить,qo'ng'iroq qilmoq,to ring / to call
процент,foiz,percentage
ощущение,his / tuyg'u,sensation
немедленно,darhol / zudlik bilan,immediately
остров,orol,island
конь,ot (erkak),horse
объявить,e'lon qilmoq,to declare
узкий,tor,narrow
театр,teatr,theater
живот,qorin,stomach
производство,ishlab chiqarish,production
штаб,shtab / markaziy qo'mondonlik,headquarters (military)
детство,bolalik,childhood
резко,keskin / qat'iy,sharply
придумать,o'ylab topmoq / ixtiro qilmoq,to invent / to contrive
броситься,otilmoq / yugurib bormoq,to rush / to jump at
сотня,yuz / bir yuzta,hundred
попытаться,urinib ko'rmoq,to attempt
стакан,stakan / shisha idish,glass container
всякий,har qanday,every / any
умный,aqlli / ziyrak,clever
трое,uch kishi,three
материал,material,material
ужас,dahshat / qo'rquv,horror
схватить,ilib olmoq / tutib olmoq,to seize / to grip
приняться,boshlаmoq,to start
значение,ma'no / qiymat,value / meaning
труба,truba / nay,pipe
отказаться,rad etmoq / bosh tortmoq,to refuse
виноватый,aybdor / gunohkor,guilty
стихи,she'r / nazmlar,verses
способ,usul / yo'l,method
обстоятельство,vaziyat / holat,circumstance
четвёртый,to'rtinchi,fourth
степень,daraja,degree
Германия,Germaniya,Germany
СССР,SSSR,USSR
отправиться,jo'namoq / yo'lga chiqmoq,to leave / set off / out
вставать,turmoq / o'rnidan turmoq,to arise / stand up
волна,to'lqin,wave
обратиться,murojaat qilmoq / aylanmoq,to turn / to address
плохой,yomon,bad / amiss
мёртвый,o'lik / vafot etgan,dead
предлагать,taklif qilmoq,to propose
глубина,chuqurlik,depth
специальный,maxsus / alohida,special
представитель,vakil / namoyanda,representative
нож,pichoq,knife
точный,aniq / to'g'ri,precise
рынок,bozor,market
шум,shovqin / gapg'apa,noise
студент,talaba / student,student
впечатление,taassurot,impression
засмеяться,kulmoq / kulib yubormoq,to laugh
отдел,bo'lim / qism,division
запад,g'arb,west
падать,yiqilmoq / tushmoq,to fall
закончить,tugatmoq,to finish
снимать,olib tashlаmoq / suratga olmoq,to remove
успех,muvaffaqiyat,success
инженер,muhandis,engineer
население,aholi,population
встречаться,uchrashmоq / ko'rishmoq,to encounter / to meet
некий,ba'zi / ayrim,certain
вдоль,bo'ylab,along / lengthwise
пыль,chang,dust
следить,kuzаtmoq / nazorat qilmoq,to watch / to follow
зайти,kirib o'tmoq,to visit
спасти,qutqarmoq,to save
знание,bilim,knowledge
различный,turli-xil / har xil,different / various
секретарь,kotib,secretary
побежать,yugurib ketmoq,to start running
ошибка,xato,error
боец,jangchi / askar,soldier
женский,ayollar (sifat),female
масса,massa / katta miqdor,mass
черта (2),xususiyat / belgi,features
одновременно,bir vaqtda / birdan,simultaneously
царь,podsho / tsar,emperor
естественно,tabiiy ravishda,naturally
позволять,ruxsat bermoq / ijozat etmoq,to allow
закрыть,yopmoq,to shut
фигура,figura / shakl,figure
велеть,buyurmoq,to order
противник,raqib / dushman,enemy
даль,uzoqlik / uzoq masofa,distance
знаменитый,mashhur / taniqli,famous
нормальный,normal / oddiy,normal
журнал,jurnal,periodical
направление,yo'nalish,direction
замок,qulf / qal'a,lock / castle
иметься,mavjud bo'lmoq,be available
победа,g'alaba,victory
суметь,udday olmoq,to be able
сотрудник,hamkasb / xodim,colleague
заговорить,gapira boshlаmoq,to start talking
несколько (мест.),bir necha,several / a few
крепкий,mustahkam / kuchli,strong
подниматься,ko'tarilmoq,to rise
вытащить,tortib chiqarmoq,to take out
редкий,kam uchraydigan / noyob,rare
мягкий,yumshoq,soft
городской,shahar (sifat),urban
социальный,ijtimoiy,social
адрес,manzil,address
обращаться,murojaat qilmoq,to address
период,davr / muddat,period
еврей,yahudiy,Jewish
слух,mish-mish / eshitish,rumor
пользоваться,foydalanmoq,to use
клуб,klub / to'garak,club
верно,to'g'ri / aynан,aright / correct
хвост,dum,tail
восемь,sakkiz,eight
пошлый,odobsiz / quruq,vulgar / banal
предмет,narsa / buyum / fan,object
честь,sharaf / hurmat,honor
общественный,jamoat / jamiyat (sifat),public
открывать,ochmoq,to open
отдельный,alohida,separate
лечение,davolash / muolaja,treatment
экономический,iqtisodiy,economic
взяться,kirishmoq / qo'l urmoq,to undertake
встретиться,uchrashmoq,to meet / get together
зрение,ko'ruv / ko'zning ko'rishi,sight
замечать,payqаmoq / eslatmoq,to note
наблюдать,kuzаtmoq,to observe
наоборот,aksincha,vice versa / conversely
голый,yalang'och,naked
круглый,dumaloq / yumaloq,round
беда,balo / muammo,misfortune
столица,poytaxt,capital city
обед,tushlik,dinner
грязный,iflos / kir,dirty
опустить,tushirmoq / pastlatmoq,to lower
культура,madaniyat,culture
спешить,shoshmoq,to hurry
высота,balandlik,height
территория,hudud / territoriya,territory
костюм,kostyum / kiyim,suit
светлый,yorug' / ravshan,bright
деревянный,yog'och (sifat),wooden
гораздо,ancha / juda ko'p,much
громко,baland ovozda / qattiq,loudly
поздно,kech,late / out of time
обернуться,o'girilmoq / qarab ketmoq,to turn one's face
попытка,urinish / harakat,attempt
дно,tub,bottom
пятьдесят,ellik,fifty
остановить,to'xtatmoq,to stop
полностью,to'liq / tamomila,completely
страница,bet / sahifa,page
лишний,ortiqcha / kerakmas,superfluous / extra
многое,ko'p narsа,much
еда,ovqat / taom,food
размер,o'lcham / hajm,size
курить,chekmoq,to smoke
состоять,tashkil topmoq / iborat bo'lmoq,to consist
предприятие,korxona,enterprise
сцена,sahna / ko'rinish,scene
английский,ingliz (sifat),English
проснуться,uyg'onmoq,to awake
устроить,tartibga solmoq / tashkil etmoq,to arrange
понравиться,yoqmoq / manzur bo'lmoq,to please / to like
явиться,paydo bo'lmoq / kelmoq,to appear
фотография,fotosurat / rasm,photograph
заболевание,kasallik / xastalik,disease
принцип,printsip / tamoyil,principle
миг,lahza / bir zumda,moment
Европа,Yevropa,Europe
платить,to'lamoq,to pay
помочь,yordam bermoq,to assist / to help
нынешний,hozirgi / bugungi,present
вероятно,ehtimol / balki,probably
тётя,xola / amaki (ayol),aunt
лечь,yotmoq,to lie down
мастер,usta,master
отряд,otriyad / guruh,detachment / squadron
старуха,kampir / qariya ayol,old woman
руководитель,rahbar / boshlig'i,leader
житель,aholi / yashovchi,inhabitant
меч,qilich,sword
научный,ilmiy,scientific
дышать,nafas olmoq,to breathe
Господь,Rabbiy / Xudo,the Lord / God
наиболее,eng ko'p / asosan,most
тюрьма,qamoqxona / zindоn,prison
подождать,kutib turmoq,to wait
ближайший,eng yaqin / yaqin atrofdagi,nearest
внутри,ichida,inside / within
дворец,saroy,palace
яркий,yorqin,bright
учёный,olim / bilimdon,scientific / trained
камера,kamera / xona,camera
привезти,olib kelmoq,to bring
существо,mavjudot / mohiyat,creature / essence
билет,bilet / chipta,ticket
соседний,qo'shni / yonma-yon,neighboring / adjacent
фраза,ibora / jumla,phrase
повторять,takrorlamoq,to repeat
Америка,Amerika,America
весна,bahor,spring
лодка,qayiq / kema,boat
считаться,hisoblanmoq / sanalmoq,to be counted
фильм,film / kino,film
родиться,tug'ilmoq,to be born
больница,shifoxona / kasalxona,hospital
смех,kulgi / kulinish,laughter
специалист,mutaxassis,specialist
образование,ta'lim / hosil bo'lish,formation / education
спасть,tushmoq / pasaymoq,to fall / to decline
пятый,beshinchi,fifth
мальчишка,o'g'il bola / yigitcha,boy
проговорить,gapirmoq,to speak
выбрать,tanlаmoq,to select
тяжело,og'ir / qiyin,heavily / hard
определённый,ma'lum / aniq,special / definite
продукт,mahsulot,product
пистолет,to'pponcha,pistol
раздаться,eshitilmoq,be heard
постепенно,asta-sekin,gradually
Родина,Vatan / Yurt,native land
возможный,mumkin / amalga oshirish mumkin,possible
личность,shaxs,personality
собственно,aslidа / mohiyatan,strictly
собрать,yig'moq / to'plamoq,to gather
насчёт,haqida / borasida,about / as regards / concerning
внимательно,diqqat bilan / sinchiklab,heedfully / observantly
скорость,tezlik,speed
участок,bo'lak / qism / yer,section
учить,o'qitmoq / o'rganmoq,to teach / to learn
технический,texnik,technical
видимый,ko'rinadigan,visible
текст,matn,text
зверь,yirtqich hayvon,beast
вслед,ketidan / ortidan,after / behind
ездить,yurishmoq / bormoq (transport),to drive
злой,yovuz / g'azabli,wicked / evil
извинить,kechirmoq,to excuse
дикий,yovvoyi,wild
народный,xalq (sifat),people
артист,artis / san'atkor,artist
усмехнуться,kinoya bilan kulmoq,to smile / to sneer
автомобиль,avtomobil / mashina,automobile
участие,ishtirok,participation
кот,mushuk,cat
мост,ko'prik,bridge
примерно,taxminan,approximately
находить,topmoq,to find
здоровье,sog'liqlik / salomatlik,health
костёр,gulxan,bonfire
заходить,kirib bormoq,to go in
человечество,insoniyat,humanity
пуля,o'q,bullet
сомнение,shubha / ikkilanish,doubt
морской,dengiz (sifat),sea
отсутствие,yo'qlik / mavjud emaslik,absence
случайно,tasodifan / bexosdan,by chance
сложный,murakkab / qiyin,complex
мясо,go'sht,meat
нечто,nimadir / bir narsa,something
собирать,yig'moq / to'plamoq,to gather
отметить,qayd etmoq / belgilamoq,to note
исторический,tarixiy,historical
читатель,o'quvchi,reader
доска,taxta / doskа,board
убийство,qotillik,murder
дальний,uzoqdagi,distant
тянуть,tortmoq / siltamoq,to pull
мгновение,lahza / bir zumda,instant
восток,sharq,east
обратить,aylantimoq / qaratmoq,to turn / to convert
отпустить,qo'yib yubormoq,to let go
бегать,yugurib yurmoq,to run
настроение,kayfiyat,mood
означать,anglatmoq,to indicate
составлять,tashkil qilmoq,to comprise
реальный,haqiqiy / real,real
пауза,tanaffus / pauza,pause
приём,qabul / usul,admission
порог,ostonа / chegara,threshold / doorstep
фон,fon / orqa tomoni,background
национальный,milliy,national
выдержать,bardosh bermoq,to withstand
ясный,aniq / yorqin,clear
весело,quvnoqlik bilan,cheerily / gaily
пропасть,yo'qolmoq / g'oyib bo'lmoq,disappear
рыжий,qizil sochli / to'q sariq,red
постоянно,doimo / uzluksiz,constantly
песок,qum,sand
долг,qarz / burch,debt
настолько,shunchalik,so
пьяный,mast / ichkilikboz,drunk
поступить,kirmoq / harakat qilmoq,to enter / to behave
предложение,taklif / gap,proposal
внешний,tashqi,external
работник,ishchi / xodim,worker
проверить,tekshirmoq,to verify
отправить,yubormoq,to send
прекрасно,ajoyib / go'zal,wonderful
наступить,boshlanmoq / hujum qilmoq,to begin / act on the offensive
объяснять,tushuntirmoq,to explain
сожаление,afsus / nadomаt,regret
пожать,silkitmoq / siqmoq (qo'l),to shake
сверху,yuqoridan / tepasidan,on top / from above
торчать,chiqib turmoq,to stick out
оставлять,qoldirmoq,to leave
горло,tomoq / bo'g'iz,throat
навстречу,peshvoz / tomon,towards
ресторан,restoran,restaurant
список,ro'yxat,list
задний,orqa / keyingi,rear
праздник,bayram / dam olish kuni,holiday
покой,tinchlik / dam olish,rest
шутка,hazil / latifa,joke
автобус,avtobus,bus
летний,yozgi,summer (adj)
вариант,variant / ko'rinish,version
занимать,egallаmoq / band etmoq,to occupy
дыхание,nafas,breath / respiration
признаться,iqror bo'lmoq / e'tirof etmoq,to confess / to acknowledge
организм,organizm / tirik mavjudot,organism
дрожать,titramoq,to shake
поймать,tutmoq / ilib olmoq,to catch
опасный,xavfli,dangerous
жертва,qurbon / jabrlanuvchi,victim
далее,bundan keyin / keyingisi,further
начальство,boshliqlar / rahbariyat,authorities
каменный,toshdan yasalgan / qattiq,rock (adj)
рукав,yengi (kiyimning),sleeve
занятие,mashg'ulot / faoliyat,occupation
северный,shimoliy,northern
признать,tan olmoq,to recognize
охрана,muhofaza / qo'riqchi,protection
бедный,kambag'al / bechora,poor
постоянный,doimiy / uzluksiz,constant
масло,yog' / mol yog'i,butter / oil
сунуть,tiqmoq / solib qo'ymoq,to pop into / to put
захотеть,xohlab qolmoq,to want
кость,suyak,bone
международный,xalqaro,international
воскликнуть,hayajon bilan aytmoq,to exclaim out
пиво,pivo / pivо,beer
полтора,bir yarim,one and half
вскочить,sakrab turmoq,to jump
центральный,markaziy,central
чиновник,amaldor / mansabdor,official
эхо,aks-sado,echo
здравствовать,sog'-salomat bo'lmoq,to be in good health
потолок,shift,ceiling
руководство,rahbarlik / boshqaruv,management
защита,himoya / muhofaza,protection
разрешить,ruxsat bermoq / hal etmoq,to permit / to solve
важно,muhim / ahamiyatli,important
энергия,energiya,energy
звонок,qo'ng'iroq,bell
построить,qurmoq,to build
сигарета,sigaret,cigarette
закрытый,yopiq,closed
пустить,qo'yib yubormoq,to release
тепло,issiqlik / iliqlik,warmth / heat
кошка,mushuk (ayol),cat
установить,o'rnatmoq,to establish
зона,zona / hudud,zone
диван,divan / kunjak,sofa
встречать,kutib olmoq,to meet
внезапно,to'satdan / birdaniga,suddenly
предел,chegara / chegarа,limit
единый,yagona / birlаshgan,united
напротив,qarshisida / aksincha,opposite to / across the way
зря,bekorga / behuda,in vain
полагать,taxmin qilmoq,to assume
перейти,o'tmoq / ko'chmoq,to go over / to pass
мечтать,orzulamoq,to dream
терять,yo'qotmoq,to lose
трудный,qiyin / murakkab,difficult
испытывать,his qilmoq / boshdan kechirmoq,to experience
постель,to'shak,bed
тайна,sir / maxfiyat,secret
лезть,chiqmoq / suqulib kirmoq,to climb
туман,tuman / qalinlik,fog
древний,qadim / qadimgi,ancient
бросать,tashlamoq / irg'itmoq,to throw
книжка,kitobcha,book
жалко,achinmoq / xayfsiz,pitiful
воспоминание,xotira / esdalik,recollection
оглянуться,orqaga qaramoq,to look back
Ленинград,Leningrad,Leningrad
густой,qalin / zig'ir,thick
практически,amaliy jihatdan,practically
вечный,abadiy / mangu,eternal
существование,mavjudlik / borlik,existence
сзади,orqadan,behind
королева,malika,queen
принадлежать,tegishli bo'lmoq / mansub bo'lmoq,to belong
вход,kirish / kirish joyi,entrance
церковь,cherkov,church
преступление,jinoyat,crime
музей,muzey,museum
планета,sayyora,planet
опасность,xavf,danger
прочитать,o'qib chiqmoq,to read
пускать,qo'yib yubormoq,to release
болеть,kasal bo'lmoq,to be ill
иностранный,xorijiy / chet el,foreign
низкий,past / quyi,low
поиск,qidiruv / axtarish,search
палатка,chodir / chodircha,tent
пригласить,taklif etmoq / chaqirmoq,to invite
добраться,yetib bormoq,to reach
французский,fransuz (sifat),French
источник,manba,source
честно,halol / rostgo'ylik bilan,honestly
основание,asos / sabab,base
видать,ko'rmoq (so'zlashuv),to see
родственник,qarindosh,relative
выступать,chiqish qilmoq / harakat qilmoq,to come out / to act
определить,aniqlаmoq,to determine
взрослый,katta / voyaga yetgan,adult
заглянуть,mo'ralab ko'rmoq,to glance
осень,kuz,autumn
представление,taqdim / g'oya,presentation / idea
способность,qobiliyat,ability
понятие,tushuncha / konsepsiya,notion / concept
тон,ton / ohang,tone
итак,demak / xulosa,thus
аппарат,apparat / qurilma,apparatus
водитель,haydovchi,driver
утверждать,ta'kidlamoq / da'vo qilmoq,to assert
глупый,ahmoq / bema'ni,foolish
больно,og'riqli / og'riq bilan,painfully
тайный,sir / yashirin,secret
крыло,qanot,wing
изменение,o'zgarish,change
беседа,suhbat / muloqot,conversation
пост,lavozim / post,post
вывод,xulosa / chiqarish,conclusion / withdrawal
комиссия,komissiya,commission
стоить,turmoq (narx) / baholanmoq,to cost
множество,ko'p / to'da,great number / multitude
явление,hodisa / ko'rinish,phenomenon / appearance
торопиться,shoshmoq / oshiqmoq,to hurry
розовый,pushti,pink
вынуть,chiqarmoq / olmoq,to take out
красота,go'zallik / chiroyli,beauty
дальнейший,keyingi / bundan keyingi,further / future
мороз,ayoz / qattiq sovuq,frost
дача,dacha / qishloq uyi,dacha
очевидно,aniq / ko'rinib turibdi,obviously
вернуть,qaytarmoq,to return
рано,erta,early
строить,qurmoq / loyiha qilmoq,to construct / to build
борода,soqol,beard
догадаться,topmoq / taxmin qilmoq,to surmise
младший,kichik / kichkina,junior / younger
строго,qat'iy / intizomli,strict
площадка,maydon / o'yin joyi,playground
ниже,pastda / quyida,below
усилие,sa'y-harakat / kuch,effort
приятель,do'st / oshna,friend
честный,halol / to'g'ri,honest
ручка,tutqich / qalam,knob / pen
повернуть,burishmoq / o'girmoq,to turn
расти,o'sib bormoq,to grow
столик,kichik stol,table
журналист,jurnalist,journalist
наверняка,albatta / shubhasiz,for sure
выстрел,otish / o'q otish,shot
озеро,ko'l,lake
разобраться,tushunmoq / hal qilmoq,to understand / to unpack
приятно,yoqimli / xursandchilik bilan,enjoyably
сумка,sumka / xalta,bag
кино,kino / kinoteatr,cinema
должность,lavozim / o'rin,occupation / position
зло,yovuzlik / shaytonlik,evil
позиция,pozitsiya / nuqtai nazar,attitude / position
поглядеть,bir ko'rib qo'ymoq,to have a look
готовить,tayyorlamoq / pishirmoq,to prepare / to cook
верхний,yuqorigi / ustki,upper
удивление,hayron qolish / taajjub,surprise
следователь,tergovchi,inspector
учёник,o'quvchi / shogird,student
серьёзно,jiddiy ravishda,seriously
приятный,yoqimli / xush,pleasant
основа,asos / poydevor,basis / foundation
горе,qayg'u / g'am,grief
выскочить,otib chiqmoq / sapchib chiqmoq,to jump out
повезти,omad kulimoq / olib bormoq,to transport
рождение,tug'ilish,birth
песня,qo'shiq,song
готовиться,tayyorlanmoq,to prepare
полка,javon / raф,shelf
выполнять,bajarmoq / amalga oshirmoq,to carry out
старшина,starshina,first sergeant
колесо,g'ildirak,wheel
вряд ли,qiyin / ehtimolsiz,hardly
шофёр,haydovchi / shofer,driver
проект,loyiha,project
совесть,vijdon,conscience
навсегда,abadiy / hamisha,forever
зависеть,bog'liq bo'lmoq,to depend
суть,mohiyat / asos,essence
режим,rejim / tartib,regime
поднимать,ko'tarmoq,to raise / to pick up
чемодан,chamadon,suitcase / trunk
платье,ko'ylak,dress / gown / frock
возразить,e'tiroz bildirmoq,to object
хозяйство,xo'jalik / ferma,economy / farm
полиция,politsiya,police
пункт,punkt / band,point
ствол,shox / tana / miltig'ning lulasi,stem
толк,ma'no / foyda,sense
вкус,ta'm / did,taste
приезжать,kelmoq / tashrif buyurmoq,to arrive
тотчас,shu zahot / darhol,immediately
добро,yaxshilik / xayr,good
портрет,portret / surat,portrait
спустя,dan keyin,after / later
полк,polk,regiment
кофе,qahva,coffee
отделение,bo'lim,department
подать,uzatmoq / berib qo'ymoq,to give / to serve
обстановка,vaziyat / muhit,situation
пятно,dog' / pay,spot
жениться,uylanmoq,to marry
бровь,qosh,eyebrow
телевизор,televizor,television set
найтись,topilmoq,to be located
звучать,yangiramoq / jaranglamoq,to sound
база,baza / asos,base
отличаться,farq qilmoq,to differ
отдавать,qaytarib bermoq,to give back
тревога,xavotir / tashvish,anxiety
послушать,tinglаmoq,to listen to
помещение,xona / joy,lodging / room / investment
делаться,bo'lmoq / amalga oshmoq,to be done
перевести,ko'chirmoq / tarjima qilmoq,to transfer
урок,dars,lesson
выдать,bermoq / oshkor qilmoq,to give out
поведение,xulq-atvor / muomala,behavior
создание,yaratilish / ijod,creation
собрание,yig'ilish,meeting
дедушка,bobo,grand-dad
безопасность,xavfsizlik,safety
нервный,asabiy,nervous
функция,funktsiya / vazifa,function
нарушение,buzilish / xuruj,disturbance
требоваться,talab qilinmoq,to be required
экран,ekran,screen
забрать,olib ketmoq,to take away
шапка,qalpoq / shapka,cap / hat
убивать,o'ldirmoq,to kill
выпустить,qo'yib yubormoq / chiqarmoq,to let out
полоса,chiziq / yo'lak,strip
хозяйка,uy bekasi / xo'jayin (ayol),mistress / housewife
штаны,shim,pants
врать,yolg'on gapirmoq,to lie
грязь,loy / balchiq,mud
жалеть,afsuslanmoq / achinmoq,to regret / to pity
труп,murdа / jasad,corpse
неожиданный,kutilmagan,unexpected
занятый,band / mashg'ul,occupied
подарок,sovg'a / hadya,gift
рубашка,ko'ylak (erkak),shirt / chemise
август,avgust,August
превратиться,aylanmoq / o'zgarmoq,to turn into
крепко,mahkam / qattiq,firmly
объект,ob'ekt / narsa,object
открыться,ochilmoq,to be opened
мощный,qudratli / kuchli,powerful
университет,universіtet,university
охота,ov / ovchilik,hunting
штука,narsa / dona,piece / thing
обойтись,qilmoq / muhtoj bo'lmasdan,to manage / to do without
махнуть,siltamoq / qo'l ko'tarmoq,to wave
довольный,mamnun / rozi,pleased / contented
твёрдый,qattiq / mustahkam,solid
молоко,sut,milk
катить,aylantirmoq / dumalatmoq,to roll
никуда,hech qayerga,nowhere
вынужденный,majbur qilingan / zoravоn,forced
направить,yo'naltimoq / yubormoq,to direct
буква,harf,letter / character
полезть,chiqmoq / ko'tarilmoq,to climb
вершина,cho'qqi / tepalik,peak / summit
поверхность,yuzasi,surface
терпеть,sabr qilmoq / chidаmoq,to tolerate / to suffer
рассматривать,ko'rib chiqmoq / o'rganmoq,to examine
сходить,tushmoq / bormoq,to get off / to descend
обращать,qaratmoq / aylantirmoq,to turn to / to transform
товар,tovar / mol,goods
доказать,isbotlamoq,to prove
лапа,panja (hayvon),paw
одетый,kiyingan,dressed
спуститься,pastga tushmoq,to go down
гостиница,mehmonxona,hotel
воевать,urush qilmoq / jang qilmoq,to be at war
абсолютно,mutlaqo / tamomila,absolutely
продать,sotmoq,to sell
середина,o'rta / markaz,middle
солнечный,quyoshli,sunny / solar
назначить,tayinlаmoq,to appoint
домашний,uy (sifat) / uy-ro'zg'or,domestic
бригада,brigada,brigade / team
прочесть,o'qib chiqmoq,to read
богатый,boy / farovon,rich
признак,belgi / alamat,sign
среда,chorshanba / muhit,environment / Wednesday
политика,siyosat,politics / policy
капля,tomchi,drop
вес,og'irlik / vaznа,weight
измениться,o'zgarmoq,to change
комитет,komitet,committee
отойти,chetlashmoq / uzoqlashmoq,to go away
плащ,plash / yomg'irpush,raincoat
поток,oqim,flow
решать,qaror qilmoq / yechmoq,to decide / to solve
вырасти,kattalashmoq / o'sib ulg'aymoq,to grow
познакомиться,tanishmoq,to be introduced
занять,egallаmoq / qarzga olmoq,to engage
гулять,sayr qilmoq / yurmoq,to go for a walk
посадить,eкmoq / o'tirg'izmoq,to plant
бледный,oqargan / rangi oq,pale
стремиться,intilmoq,to strive
составить,tashkil qilmoq / birlаshtirmoq,to comprise
задуматься,o'ylab qolmoq,to think
холод,sovuqlik / ayoz,cold
Париж,Parij,Paris
незнакомый,tanish bo'lmagan / begona,unfamiliar / unknown
решительно,qat'iy ravishda,decisively
позвать,chaqirmoq,to call / to invite
выполнить,bajarib chiqmoq,to carry out
записка,xat / eslatma,note
появление,paydo bo'lish,appearance
платок,ro'mol,shawl
двинуться,qo'zg'almoq / jo'namoq,to move
обладать,ega bo'lmoq,to possess
